year,date20,value
2019,2020-11-27,5.3945145129223
2019,2020-11-28,5.48479096343115
2019,2020-11-29,5.49995738275879
2019,2020-11-30,5.29217534841197
2019,2020-12-01,4.91908333383182
2019,2020-12-02,4.60976899195485
2019,2020-12-03,4.36726487221524
2019,2020-12-04,4.08558892625737
2019,2020-12-05,3.81373768163393
2019,2020-12-06,3.54080441657629
2019,2020-12-07,3.45589135306793
2019,2020-12-08,3.4761740931819
2019,2020-12-09,3.47281363136084
2019,2020-12-10,3.37952808468381
2019,2020-12-11,3.20927780511575
2019,2020-12-12,3.05855538863881
2019,2020-12-13,2.81042722041329
2019,2020-12-14,2.63773486069765
2019,2020-12-15,2.43620293637803
2019,2020-12-16,2.33762822021558
2019,2020-12-17,2.35647009706966
2019,2020-12-18,2.39168443387502
2019,2020-12-19,2.40821484359428
2019,2020-12-20,2.51378277959939
2019,2020-12-21,2.4745040741826
2019,2020-12-22,2.34208600562601
2019,2020-12-23,2.3400647258237
2019,2020-12-24,2.32373261139532
2019,2020-12-25,2.29493774588277
2019,2020-12-26,2.15053611092847
2019,2020-12-27,2.00421934757381
2019,2020-12-28,1.93226871043294
2019,2020-12-29,1.82261360126873
2019,2020-12-30,1.69684419652582
2019,2020-12-31,1.7597772644466
2020,2020-01-01,1.80029522763238
2020,2020-01-02,1.78918565696831
2020,2020-01-03,1.79326644743514
2020,2020-01-04,1.81721593852814
2020,2020-01-05,1.73620505875358
2020,2020-01-06,1.56940191488457
2020,2020-01-07,1.48863370380134
2020,2020-01-08,1.62175334199373
2020,2020-01-09,1.78659605885398
2020,2020-01-10,1.85885846829992
2020,2020-01-11,1.86086246517521
2020,2020-01-12,1.72284791153092
2020,2020-01-13,1.57869364586294
2020,2020-01-14,1.31122243292796
2020,2020-01-15,1.05959651104371
2020,2020-01-16,0.854790642434457
2020,2020-01-17,0.545868943481141
2020,2020-01-18,0.339131659829096
2020,2020-01-19,0.23443507317117
2020,2020-01-20,0.0286449980181012
2020,2020-01-21,-0.215814650368758
2020,2020-01-22,-0.42041242827504
2020,2020-01-23,-0.534477352431465
2020,2020-01-24,-0.657301728963701
2020,2020-01-25,-0.682225662166047
2020,2020-01-26,-0.591080415050937
2020,2020-01-27,-0.472599085823744
2020,2020-01-28,-0.463795169604822
2020,2020-01-29,-0.402480574244175
2020,2020-01-30,-0.25097417813574
2020,2020-01-31,0.0547066601534164
2020,2020-02-01,0.23636918015967
2020,2020-02-02,0.508411186745083
2020,2020-02-03,0.822863197740136
2020,2020-02-04,0.986855914941826
2020,2020-02-05,0.978720840584461
2020,2020-02-06,0.868435834017486
2020,2020-02-07,0.8208747290509
2020,2020-02-08,0.727891339170955
2020,2020-02-09,0.808739991023744
2020,2020-02-10,1.0549117613623
2020,2020-02-11,1.25022864405901
2020,2020-02-12,1.3531752412341
2020,2020-02-13,1.42015698860599
2020,2020-02-14,1.57996293583601
2020,2020-02-15,1.7277971224293
2020,2020-02-16,1.9183509848831
2020,2020-02-17,2.20077328575414
2020,2020-02-18,2.50274651678387
2020,2020-02-19,2.65586199008182
2020,2020-02-20,2.79989396478238
2020,2020-02-21,2.9697116967554
2020,2020-02-22,3.19711468640642
2020,2020-02-23,3.55688378581748
2020,2020-02-24,3.76519652623793
2020,2020-02-25,3.93947153652768
2020,2020-02-26,3.99855459110405
2020,2020-02-27,3.98370039464103
2020,2020-02-28,3.76947472107871
2020,2020-02-29,3.6115445035684
2020,2020-03-01,3.51522238771615
2020,2020-03-02,3.51166730645763
2020,2020-03-03,3.54712321862665
2020,2020-03-04,3.61983969779217
2020,2020-03-05,3.75889620183165
2020,2020-03-06,3.92011163796201
2020,2020-03-07,4.05337599234753
2020,2020-03-08,4.12219009387441
2020,2020-03-09,4.03801074702045
2020,2020-03-10,4.09728708061345
2020,2020-03-11,4.40659883664562
2020,2020-03-12,4.71381616714081
2020,2020-03-13,4.78386897725619
2020,2020-03-14,4.78004129924368
2020,2020-03-15,4.71476978963599
2020,2020-03-16,4.68942299886653
2020,2020-03-17,4.75175628226398
2020,2020-03-18,4.98853360418586
2020,2020-03-19,5.23212306656843
2020,2020-03-20,5.4938557372494
2020,2020-03-21,5.48938565255579
2020,2020-03-22,5.14936306598212
2020,2020-03-23,4.87029410010671
2020,2020-03-24,4.62426536124491
2020,2020-03-25,4.491528830097
2020,2020-03-26,4.49259772775234
2020,2020-03-27,4.69662880073147
2020,2020-03-28,4.86542291918613
2020,2020-03-29,4.9098028710579
2020,2020-03-30,4.70469165633067
2020,2020-03-31,4.52192897554923
2020,2020-04-01,4.46084500587959
2020,2020-04-02,4.48017211814511
2020,2020-04-03,4.54357739399404
2020,2020-04-04,4.66665881014107
