date,variable,last,day,year,date20
2020-11-15,gasOil,0.994,320,2020,2020-11-15
2020-11-16,euroSuper95,1.041,321,2020,2020-11-16
2020-11-16,gasOil,1.001,321,2020,2020-11-16
2020-11-17,euroSuper95,1.041,322,2020,2020-11-17
2020-11-17,gasOil,1.001,322,2020,2020-11-17
2020-11-18,euroSuper95,1.041,323,2020,2020-11-18
2020-11-18,gasOil,1.001,323,2020,2020-11-18
2020-11-19,euroSuper95,1.041,324,2020,2020-11-19
2020-11-19,gasOil,1.001,324,2020,2020-11-19
2020-11-20,euroSuper95,1.041,325,2020,2020-11-20
2020-11-20,gasOil,1.001,325,2020,2020-11-20
2020-11-21,euroSuper95,1.041,326,2020,2020-11-21
2020-11-21,gasOil,1.001,326,2020,2020-11-21
2020-11-22,euroSuper95,1.041,327,2020,2020-11-22
2020-11-22,gasOil,1.001,327,2020,2020-11-22
2020-11-23,euroSuper95,1.063,328,2020,2020-11-23
2020-11-23,gasOil,1.021,328,2020,2020-11-23
2020-11-24,euroSuper95,1.063,329,2020,2020-11-24
2020-11-24,gasOil,1.021,329,2020,2020-11-24
2020-11-25,euroSuper95,1.063,330,2020,2020-11-25
2020-11-25,gasOil,1.021,330,2020,2020-11-25
2020-11-26,euroSuper95,1.063,331,2020,2020-11-26
2020-11-26,gasOil,1.021,331,2020,2020-11-26
2020-11-27,euroSuper95,1.063,332,2020,2020-11-27
2020-11-27,gasOil,1.021,332,2020,2020-11-27
2020-11-28,euroSuper95,1.063,333,2020,2020-11-28
2020-11-28,gasOil,1.021,333,2020,2020-11-28
2020-11-29,euroSuper95,1.063,334,2020,2020-11-29
2020-11-29,gasOil,1.021,334,2020,2020-11-29
2020-11-30,euroSuper95,1.061,335,2020,2020-11-30
2020-11-30,gasOil,1.027,335,2020,2020-11-30
2020-12-01,euroSuper95,1.061,336,2020,2020-12-01
2020-12-01,gasOil,1.027,336,2020,2020-12-01
2020-12-02,euroSuper95,1.061,337,2020,2020-12-02
2020-12-02,gasOil,1.027,337,2020,2020-12-02
2020-12-03,euroSuper95,1.061,338,2020,2020-12-03
2020-12-03,gasOil,1.027,338,2020,2020-12-03
2020-12-04,euroSuper95,1.061,339,2020,2020-12-04
2020-12-04,gasOil,1.027,339,2020,2020-12-04
2020-12-05,euroSuper95,1.061,340,2020,2020-12-05
2020-12-05,gasOil,1.027,340,2020,2020-12-05
2020-12-06,euroSuper95,1.061,341,2020,2020-12-06
2020-12-06,gasOil,1.027,341,2020,2020-12-06
2020-12-07,euroSuper95,1.073,342,2020,2020-12-07
2020-12-07,gasOil,1.042,342,2020,2020-12-07
2020-12-08,euroSuper95,1.073,343,2020,2020-12-08
2020-12-08,gasOil,1.042,343,2020,2020-12-08
2020-12-09,euroSuper95,1.073,344,2020,2020-12-09
2020-12-09,gasOil,1.042,344,2020,2020-12-09
2020-12-10,euroSuper95,1.073,345,2020,2020-12-10
2020-12-10,gasOil,1.042,345,2020,2020-12-10
2020-12-11,euroSuper95,1.073,346,2020,2020-12-11
2020-12-11,gasOil,1.042,346,2020,2020-12-11
2020-12-12,euroSuper95,1.073,347,2020,2020-12-12
2020-12-12,gasOil,1.042,347,2020,2020-12-12
2020-12-13,euroSuper95,1.073,348,2020,2020-12-13
2020-12-13,gasOil,1.042,348,2020,2020-12-13
2020-12-14,euroSuper95,1.072,349,2020,2020-12-14
2020-12-14,gasOil,1.041,349,2020,2020-12-14
2020-12-15,euroSuper95,1.072,350,2020,2020-12-15
2020-12-15,gasOil,1.041,350,2020,2020-12-15
2020-12-16,euroSuper95,1.072,351,2020,2020-12-16
2020-12-16,gasOil,1.041,351,2020,2020-12-16
2020-12-17,euroSuper95,1.072,352,2020,2020-12-17
2020-12-17,gasOil,1.041,352,2020,2020-12-17
2020-12-18,euroSuper95,1.072,353,2020,2020-12-18
2020-12-18,gasOil,1.041,353,2020,2020-12-18
2020-12-19,euroSuper95,1.072,354,2020,2020-12-19
2020-12-19,gasOil,1.041,354,2020,2020-12-19
2020-12-20,euroSuper95,1.072,355,2020,2020-12-20
2020-12-20,gasOil,1.041,355,2020,2020-12-20
2020-12-21,euroSuper95,1.072,356,2020,2020-12-21
2020-12-21,gasOil,1.043,356,2020,2020-12-21
2020-12-22,euroSuper95,1.072,357,2020,2020-12-22
2020-12-22,gasOil,1.043,357,2020,2020-12-22
2020-12-23,euroSuper95,1.072,358,2020,2020-12-23
2020-12-23,gasOil,1.043,358,2020,2020-12-23
2020-12-24,euroSuper95,1.072,359,2020,2020-12-24
2020-12-24,gasOil,1.043,359,2020,2020-12-24
2020-12-25,euroSuper95,1.072,360,2020,2020-12-25
2020-12-25,gasOil,1.043,360,2020,2020-12-25
2020-12-26,euroSuper95,1.072,361,2020,2020-12-26
2020-12-26,gasOil,1.043,361,2020,2020-12-26
2020-12-27,euroSuper95,1.072,362,2020,2020-12-27
2020-12-27,gasOil,1.043,362,2020,2020-12-27
2020-12-28,euroSuper95,1.072,363,2020,2020-12-28
2020-12-28,gasOil,1.043,363,2020,2020-12-28
2020-12-29,euroSuper95,1.072,364,2020,2020-12-29
2020-12-29,gasOil,1.043,364,2020,2020-12-29
2020-12-30,euroSuper95,1.072,365,2020,2020-12-30
2020-12-30,gasOil,1.043,365,2020,2020-12-30
2020-12-31,euroSuper95,1.072,366,2020,2020-12-31
2020-12-31,gasOil,1.043,366,2020,2020-12-31
2021-01-01,euroSuper95,1.072,1,2021,2020-01-01
2021-01-01,gasOil,1.043,1,2021,2020-01-01
2021-01-02,euroSuper95,1.072,2,2021,2020-01-02
2021-01-02,gasOil,1.043,2,2021,2020-01-02
2021-01-03,euroSuper95,1.072,3,2021,2020-01-03
2021-01-03,gasOil,1.043,3,2021,2020-01-03
2021-01-04,euroSuper95,1.072,4,2021,2020-01-04
2021-01-04,gasOil,1.043,4,2021,2020-01-04
2021-01-05,euroSuper95,1.072,5,2021,2020-01-05
2021-01-05,gasOil,1.043,5,2021,2020-01-05
2021-01-06,euroSuper95,1.072,6,2021,2020-01-06
2021-01-06,gasOil,1.043,6,2021,2020-01-06
2021-01-07,euroSuper95,1.072,7,2021,2020-01-07
2021-01-07,gasOil,1.043,7,2021,2020-01-07
2021-01-08,euroSuper95,1.072,8,2021,2020-01-08
2021-01-08,gasOil,1.043,8,2021,2020-01-08
2021-01-09,euroSuper95,1.072,9,2021,2020-01-09
2021-01-09,gasOil,1.043,9,2021,2020-01-09
2021-01-10,euroSuper95,1.072,10,2021,2020-01-10
2021-01-10,gasOil,1.043,10,2021,2020-01-10
2021-01-11,euroSuper95,1.093,11,2021,2020-01-11
2021-01-11,gasOil,1.069,11,2021,2020-01-11
2021-01-12,euroSuper95,1.093,12,2021,2020-01-12
2021-01-12,gasOil,1.069,12,2021,2020-01-12
2021-01-13,euroSuper95,1.093,13,2021,2020-01-13
2021-01-13,gasOil,1.069,13,2021,2020-01-13
2021-01-14,euroSuper95,1.093,14,2021,2020-01-14
2021-01-14,gasOil,1.069,14,2021,2020-01-14
2021-01-15,euroSuper95,1.093,15,2021,2020-01-15
2021-01-15,gasOil,1.069,15,2021,2020-01-15
2021-01-16,euroSuper95,1.093,16,2021,2020-01-16
2021-01-16,gasOil,1.069,16,2021,2020-01-16
2021-01-17,euroSuper95,1.093,17,2021,2020-01-17
2021-01-17,gasOil,1.069,17,2021,2020-01-17
2021-01-18,euroSuper95,1.119,18,2021,2020-01-18
2021-01-18,gasOil,1.083,18,2021,2020-01-18
2021-01-19,euroSuper95,1.119,19,2021,2020-01-19
2021-01-19,gasOil,1.083,19,2021,2020-01-19
2021-01-20,euroSuper95,1.119,20,2021,2020-01-20
2021-01-20,gasOil,1.083,20,2021,2020-01-20
2021-01-21,euroSuper95,1.119,21,2021,2020-01-21
2021-01-21,gasOil,1.083,21,2021,2020-01-21
2021-01-22,euroSuper95,1.119,22,2021,2020-01-22
2021-01-22,gasOil,1.083,22,2021,2020-01-22
2021-01-23,euroSuper95,1.119,23,2021,2020-01-23
2021-01-23,gasOil,1.083,23,2021,2020-01-23
2021-01-24,euroSuper95,1.119,24,2021,2020-01-24
2021-01-24,gasOil,1.083,24,2021,2020-01-24
2021-01-25,euroSuper95,1.128,25,2021,2020-01-25
2021-01-25,gasOil,1.088,25,2021,2020-01-25
2021-01-26,euroSuper95,1.128,26,2021,2020-01-26
2021-01-26,gasOil,1.088,26,2021,2020-01-26
2021-01-27,euroSuper95,1.128,27,2021,2020-01-27
2021-01-27,gasOil,1.088,27,2021,2020-01-27
2021-01-28,euroSuper95,1.128,28,2021,2020-01-28
2021-01-28,gasOil,1.088,28,2021,2020-01-28
2021-01-29,euroSuper95,1.128,29,2021,2020-01-29
2021-01-29,gasOil,1.088,29,2021,2020-01-29
2021-01-30,euroSuper95,1.128,30,2021,2020-01-30
2021-01-30,gasOil,1.088,30,2021,2020-01-30
2021-01-31,euroSuper95,1.128,31,2021,2020-01-31
2021-01-31,gasOil,1.088,31,2021,2020-01-31
2021-02-01,euroSuper95,1.125,32,2021,2020-02-01
2021-02-01,gasOil,1.085,32,2021,2020-02-01
2021-02-02,euroSuper95,1.125,33,2021,2020-02-02
2021-02-02,gasOil,1.085,33,2021,2020-02-02
2021-02-03,euroSuper95,1.125,34,2021,2020-02-03
2021-02-03,gasOil,1.085,34,2021,2020-02-03
2021-02-04,euroSuper95,1.125,35,2021,2020-02-04
2021-02-04,gasOil,1.085,35,2021,2020-02-04
