date,value
2015-10-23,0.228943944
2015-10-24,0.211228093
2015-10-25,0.251981748
2015-10-26,0.255948957
2015-10-27,0.26933025
2015-10-28,0.278258868
2015-10-29,0.268903834
2015-10-30,0.232051864
2015-10-31,0.228626753
2015-11-01,0.313153503
2015-11-02,0.331334214
2015-11-03,0.346038431
2015-11-04,0.334691731
2015-11-05,0.320135553
2015-11-06,0.234489862
2015-11-07,0.201365914
2015-11-08,0.273931101
2015-11-09,0.261658339
2015-11-10,0.26134042
2015-11-11,0.262541351
2015-11-12,0.320257276
2015-11-13,0.256948788
2015-11-14,0.251624321
2015-11-15,0.313883577
2015-11-16,0.297909037
2015-11-17,0.316082046
2015-11-18,0.306812664
2015-11-19,0.283982769
2015-11-20,0.241920643
2015-11-21,0.275407404
2015-11-22,0.362116257
2015-11-23,0.423203217
2015-11-24,0.408167591
2015-11-25,0.394891686
2015-11-26,0.402827726
2015-11-27,0.369404412
2015-11-28,0.334535702
2015-11-29,0.371173603
2015-11-30,0.336963807
2015-12-01,0.302475634
2015-12-02,0.321823032
2015-12-03,0.357579044
2015-12-04,0.326823021
2015-12-05,0.333826568
2015-12-06,0.344237754
2015-12-07,0.361027841
2015-12-08,0.39524003
2015-12-09,0.420442476
2015-12-10,0.437916421
2015-12-11,0.333697955
2015-12-12,0.310706371
2015-12-13,0.364993462
2015-12-14,0.367020903
2015-12-15,0.371909143
2015-12-16,0.365589231
2015-12-17,0.356429644
2015-12-18,0.315773514
2015-12-19,0.329006656
2015-12-20,0.383813361
2015-12-21,0.355474718
2015-12-22,0.335755556
2015-12-23,0.270069116
2015-12-24,0.258748051
2015-12-25,0.293815984
2015-12-26,0.29357385
2015-12-27,0.309571041
2015-12-28,0.327296835
2015-12-29,0.360306922
2015-12-30,0.378619755
2015-12-31,0.329248743
2016-01-01,0.378331743
2016-01-02,0.394676956
2016-01-03,0.451554595
2016-01-04,0.45142152
2016-01-05,0.422030076
2016-01-06,0.455767215
2016-01-07,0.429719907
2016-01-08,0.375171792
2016-01-09,0.343727328
2016-01-10,0.353974669
2016-01-11,0.338923135
2016-01-12,0.350000705
2016-01-13,0.365934529
2016-01-14,0.377981244
2016-01-15,0.361178455
2016-01-16,0.384603455
2016-01-17,0.459764254
2016-01-18,0.493444867
2016-01-19,0.461363373
2016-01-20,0.46921912
2016-01-21,0.499925083
2016-01-22,0.436732636
2016-01-23,0.362976095
2016-01-24,0.397385018
2016-01-25,0.416802709
2016-01-26,0.391190544
2016-01-27,0.3489898
2016-01-28,0.34110435
2016-01-29,0.316034144
2016-01-30,0.300683712
2016-01-31,0.297835206
2016-02-01,0.310539466
2016-02-02,0.343597496
2016-02-03,0.356351299
2016-02-04,0.330312427
2016-02-05,0.289971339
2016-02-06,0.283867207
2016-02-07,0.300524939
2016-02-08,0.335549029
2016-02-09,0.329808868
2016-02-10,0.370430337
2016-02-11,0.337802777
2016-02-12,0.297725106
2016-02-13,0.286833548
2016-02-14,0.318622584
2016-02-15,0.334289639
2016-02-16,0.345252905
2016-02-17,0.336746824
2016-02-18,0.324529648
2016-02-19,0.294408835
2016-02-20,0.245209813
2016-02-21,0.265381812
2016-02-22,0.252763041
2016-02-23,0.318318324
2016-02-24,0.323355743
2016-02-25,0.326530548
2016-02-26,0.283999113
2016-02-27,0.252248908
2016-02-28,0.311476664
