date,price
2021-03-23,18.409
2021-03-24,18.637
2021-03-25,18.991
2021-03-26,18.893
2021-03-27,19.034
2021-03-28,19.034
2021-03-29,19.05
2021-03-30,18.713
2021-03-31,18.841
2021-04-01,19.168
2021-04-02,19.447
2021-04-03,19.447
2021-04-04,19.447
2021-04-05,19.447
2021-04-06,19.555
2021-04-07,20.307
2021-04-08,20.167
2021-04-09,19.699
2021-04-10,19.5
2021-04-11,19.5
2021-04-12,19.539
2021-04-13,20.499
2021-04-14,20.679
2021-04-15,20.777
2021-04-16,21.28
2021-04-17,21.474
2021-04-18,21.474
2021-04-19,21.519
2021-04-20,22.045
2021-04-21,21.721
2021-04-22,21.652
2021-04-23,21.975
2021-04-24,20.59
2021-04-25,20.59
2021-04-26,20.748
2021-04-27,20.816
2021-04-28,21.619
2021-04-29,22.111
2021-04-30,22.598
2021-05-01,23.547
2021-05-02,23.547
2021-05-03,23.547
2021-05-04,23.548
2021-05-05,24.222
2021-05-06,24.508
2021-05-07,25.358
2021-05-08,24.396
2021-05-09,24.396
2021-05-10,24.448
2021-05-11,25.519
2021-05-12,25.894
2021-05-13,26.712
2021-05-14,26.065
2021-05-15,27.009
2021-05-16,27.009
2021-05-17,27.122
2021-05-18,26.678
2021-05-19,25.474
2021-05-20,23.285
2021-05-21,24.412
2021-05-22,25.081
2021-05-23,25.081
2021-05-24,25.076
2021-05-25,24.83
2021-05-26,25.966
2021-05-27,26.804
2021-05-28,25.654
2021-05-29,25.111
2021-05-30,25.111
2021-05-31,25.111
2021-06-01,25.144
2021-06-02,25.962
2021-06-03,25.627
2021-06-04,25.818
2021-06-05,25.641
2021-06-06,25.641
2021-06-07,25.83
2021-06-08,26.446
2021-06-09,27.685
2021-06-10,28.213
2021-06-11,28.226
2021-06-12,27.983
2021-06-13,27.983
2021-06-14,27.976
2021-06-15,28.997
2021-06-16,28.269
2021-06-17,28.22
2021-06-18,28.274
2021-06-19,28.842
2021-06-20,28.842
2021-06-21,29.214
2021-06-22,29.99
2021-06-23,30.616
2021-06-24,31.269
2021-06-25,31.744
2021-06-26,32
2021-06-27,32
2021-06-28,32.02
2021-06-29,32.113
2021-06-30,33.28
