date,variable,rm7,day,year,date20
2019-04-18,peak,44658.5428571429,108,2019,2020-04-18
2019-04-19,base,81899.7142857143,109,2019,2020-04-19
2019-04-19,peak,45801.2857142857,109,2019,2020-04-19
2019-04-20,base,79461.8571428572,110,2019,2020-04-20
2019-04-20,peak,44912.0857142857,110,2019,2020-04-20
2019-04-21,base,75925.4285714286,111,2019,2020-04-21
2019-04-21,peak,42888.6,111,2019,2020-04-21
2019-04-22,base,75292.0714285714,112,2019,2020-04-22
2019-04-22,peak,42259.4428571429,112,2019,2020-04-22
2019-04-23,base,73864.5428571429,113,2019,2020-04-23
2019-04-23,peak,41424.4428571429,113,2019,2020-04-23
2019-04-24,base,69816.9285714286,114,2019,2020-04-24
2019-04-24,peak,38425.3142857143,114,2019,2020-04-24
2019-04-25,base,69522.8428571429,115,2019,2020-04-25
2019-04-25,peak,37613.7,115,2019,2020-04-25
2019-04-26,base,70284.3571428572,116,2019,2020-04-26
2019-04-26,peak,37221.2285714286,116,2019,2020-04-26
2019-04-27,base,71574.7142857143,117,2019,2020-04-27
2019-04-27,peak,37242.6571428571,117,2019,2020-04-27
2019-04-28,base,75254.6571428571,118,2019,2020-04-28
2019-04-28,peak,37916.6428571429,118,2019,2020-04-28
2019-04-29,base,74676.5285714286,119,2019,2020-04-29
2019-04-29,peak,36658.1285714286,119,2019,2020-04-29
2019-04-30,base,74911.3714285714,120,2019,2020-04-30
2019-04-30,peak,36225.6571428571,120,2019,2020-04-30
2019-05-01,base,75781.4,121,2019,2020-05-01
2019-05-01,peak,36584.5,121,2019,2020-05-01
2019-05-02,base,76853.2,122,2019,2020-05-02
2019-05-02,peak,38403.4142857143,122,2019,2020-05-02
2019-05-03,base,76592.1857142857,123,2019,2020-05-03
2019-05-03,peak,39081.9571428571,123,2019,2020-05-03
2019-05-04,base,77206.9285714286,124,2019,2020-05-04
2019-05-04,peak,40064.6857142857,124,2019,2020-05-04
2019-05-05,base,75938.8428571428,125,2019,2020-05-05
2019-05-05,peak,39302.4857142857,125,2019,2020-05-05
2019-05-06,base,76884.0285714286,126,2019,2020-05-06
2019-05-06,peak,39840.8,126,2019,2020-05-06
2019-05-07,base,76316.1714285714,127,2019,2020-05-07
2019-05-07,peak,39727.7142857143,127,2019,2020-05-07
2019-05-08,base,74953.3,128,2019,2020-05-08
2019-05-08,peak,39606.6571428572,128,2019,2020-05-08
2019-05-09,base,73333.1857142857,129,2019,2020-05-09
2019-05-09,peak,38616.7714285714,129,2019,2020-05-09
2019-05-10,base,71536.5285714286,130,2019,2020-05-10
2019-05-10,peak,37359.9142857143,130,2019,2020-05-10
2019-05-11,base,70430.7857142857,131,2019,2020-05-11
2019-05-11,peak,36359.9857142857,131,2019,2020-05-11
2019-05-12,base,71019.5714285714,132,2019,2020-05-12
2019-05-12,peak,38110.5285714286,132,2019,2020-05-12
2019-05-13,base,71924,133,2019,2020-05-13
2019-05-13,peak,38547.2,133,2019,2020-05-13
2019-05-14,base,72454.0285714286,134,2019,2020-05-14
2019-05-14,peak,38892.5,134,2019,2020-05-14
2019-05-15,base,75069.6857142857,135,2019,2020-05-15
2019-05-15,peak,40276.6142857143,135,2019,2020-05-15
2019-05-16,base,76225.0714285714,136,2019,2020-05-16
2019-05-16,peak,41046.0571428572,136,2019,2020-05-16
2019-05-17,base,77026.5142857143,137,2019,2020-05-17
2019-05-17,peak,41014.9285714286,137,2019,2020-05-17
2019-05-18,base,76851.2571428571,138,2019,2020-05-18
2019-05-18,peak,41328.2142857143,138,2019,2020-05-18
2019-05-19,base,74685.8285714286,139,2019,2020-05-19
2019-05-19,peak,39891.7714285714,139,2019,2020-05-19
2019-05-20,base,70228.0571428571,140,2019,2020-05-20
2019-05-20,peak,38121.2571428571,140,2019,2020-05-20
2019-05-21,base,68206.8142857143,141,2019,2020-05-21
2019-05-21,peak,37647.6142857143,141,2019,2020-05-21
2019-05-22,base,66604.2428571429,142,2019,2020-05-22
2019-05-22,peak,37058.8714285714,142,2019,2020-05-22
2019-05-23,base,64082.1285714286,143,2019,2020-05-23
2019-05-23,peak,34152.1285714286,143,2019,2020-05-23
2019-05-24,base,60515.2142857143,144,2019,2020-05-24
2019-05-24,peak,32262.0428571429,144,2019,2020-05-24
2019-05-25,base,59643.2714285714,145,2019,2020-05-25
2019-05-25,peak,31205.7714285714,145,2019,2020-05-25
2019-05-26,base,60877,146,2019,2020-05-26
2019-05-26,peak,32011.2,146,2019,2020-05-26
2019-05-27,base,62301.3,147,2019,2020-05-27
2019-05-27,peak,32348.2428571429,147,2019,2020-05-27
2019-05-28,base,62637.8857142857,148,2019,2020-05-28
2019-05-28,peak,31887.4,148,2019,2020-05-28
2019-05-29,base,64392.6571428571,149,2019,2020-05-29
2019-05-29,peak,31973.6857142857,149,2019,2020-05-29
2019-05-30,base,66829.9142857143,150,2019,2020-05-30
2019-05-30,peak,34732.8428571429,150,2019,2020-05-30
2019-05-31,base,68333.4714285714,151,2019,2020-05-31
2019-05-31,peak,35610.6571428571,151,2019,2020-05-31
2019-06-01,base,70288.4857142857,152,2019,2020-06-01
2019-06-01,peak,36417.0857142857,152,2019,2020-06-01
2019-06-02,base,70156.5857142857,153,2019,2020-06-02
2019-06-02,peak,35997.7,153,2019,2020-06-02
2019-06-03,base,71020.5714285714,154,2019,2020-06-03
2019-06-03,peak,36796.2714285714,154,2019,2020-06-03
2019-06-04,base,71460.5142857143,155,2019,2020-06-04
2019-06-04,peak,37469.2714285714,155,2019,2020-06-04
2019-06-05,base,70208.5714285714,156,2019,2020-06-05
2019-06-05,peak,37349.2,156,2019,2020-06-05
2019-06-06,base,69214.4,157,2019,2020-06-06
2019-06-06,peak,36380.2857142857,157,2019,2020-06-06
2019-06-07,base,74114.0714285714,158,2019,2020-06-07
2019-06-07,peak,39210.8571428571,158,2019,2020-06-07
2019-06-08,base,74049.9857142857,159,2019,2020-06-08
2019-06-08,peak,39370.5428571429,159,2019,2020-06-08
2019-06-09,base,74202.5285714286,160,2019,2020-06-09
2019-06-09,peak,38937.6714285714,160,2019,2020-06-09
2019-06-10,base,74996.8714285714,161,2019,2020-06-10
2019-06-10,peak,38984.7142857143,161,2019,2020-06-10
